State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value,Date_Month_Year,Date
AK,2022,April,12 month-ending,Number of Drug Overdose Deaths,257.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,257,April2022,2022-04-01
AK,2022,August,12 month-ending,Number of Drug Overdose Deaths,249.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,249,August2022,2022-08-01
AK,2022,December,12 month-ending,Number of Drug Overdose Deaths,247.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,247,December2022,2022-12-01
AK,2022,February,12 month-ending,Number of Drug Overdose Deaths,257.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,257,February2022,2022-02-01
AK,2022,January,12 month-ending,Number of Drug Overdose Deaths,253.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,253,January2022,2022-01-01
AK,2022,July,12 month-ending,Number of Drug Overdose Deaths,255.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,255,July2022,2022-07-01
AK,2022,June,12 month-ending,Number of Drug Overdose Deaths,256.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,256,June2022,2022-06-01
AK,2022,March,12 month-ending,Number of Drug Overdose Deaths,257.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,257,March2022,2022-03-01
AK,2022,May,12 month-ending,Number of Drug Overdose Deaths,246.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,246,May2022,2022-05-01
AK,2022,November,12 month-ending,Number of Drug Overdose Deaths,231.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,231,November2022,2022-11-01
AK,2022,October,12 month-ending,Number of Drug Overdose Deaths,240.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,240,October2022,2022-10-01
AK,2022,September,12 month-ending,Number of Drug Overdose Deaths,245.0,100,0.0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,245,September2022,2022-09-01
AK,2023,April,12 month-ending,Number of Drug Overdose Deaths,275.0,100,0.0,Alaska,Underreported due to incomplete data.,*,275,April2023,2023-04-01
AK,2023,August,12 month-ending,Number of Drug Overdose Deaths,298.0,100,0.0,Alaska,Underreported due to incomplete data.,*,298,August2023,2023-08-01
AK,2023,February,12 month-ending,Number of Drug Overdose Deaths,275.0,100,0.0,Alaska,Underreported due to incomplete data.,*,275,February2023,2023-02-01
AK,2023,January,12 month-ending,Number of Drug Overdose Deaths,269.0,100,0.0,Alaska,Underreported due to incomplete data.,*,269,January2023,2023-01-01
AK,2023,July,12 month-ending,Number of Drug Overdose Deaths,289.0,100,0.0,Alaska,Underreported due to incomplete data.,*,289,July2023,2023-07-01
AK,2023,June,12 month-ending,Number of Drug Overdose Deaths,287.0,100,0.0,Alaska,Underreported due to incomplete data.,*,287,June2023,2023-06-01
AK,2023,March,12 month-ending,Number of Drug Overdose Deaths,264.0,100,0.0,Alaska,Underreported due to incomplete data.,*,264,March2023,2023-03-01
AK,2023,May,12 month-ending,Number of Drug Overdose Deaths,288.0,100,0.0,Alaska,Underreported due to incomplete data.,*,288,May2023,2023-05-01
AK,2023,September,12 month-ending,Number of Drug Overdose Deaths,319.0,100,0.0,Alaska,Underreported due to incomplete data.,*,319,September2023,2023-09-01
AL,2022,April,12 month-ending,Number of Drug Overdose Deaths,,100,0.134597644,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,361",April2022,2022-04-01
AL,2022,August,12 month-ending,Number of Drug Overdose Deaths,,100,0.187905171,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,438",August2022,2022-08-01
AL,2022,December,12 month-ending,Number of Drug Overdose Deaths,,100,0.237211052,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,488",December2022,2022-12-01
AL,2022,February,12 month-ending,Number of Drug Overdose Deaths,,100,0.114102121,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,382",February2022,2022-02-01
AL,2022,January,12 month-ending,Number of Drug Overdose Deaths,,100,0.101213046,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,342",January2022,2022-01-01
AL,2022,July,12 month-ending,Number of Drug Overdose Deaths,,100,0.17200962,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,417",July2022,2022-07-01
AL,2022,June,12 month-ending,Number of Drug Overdose Deaths,,100,0.155140158,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,375",June2022,2022-06-01
AL,2022,March,12 month-ending,Number of Drug Overdose Deaths,,100,0.118723794,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,366",March2022,2022-03-01
AL,2022,May,12 month-ending,Number of Drug Overdose Deaths,,100,0.14128156,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,373",May2022,2022-05-01
AL,2022,November,12 month-ending,Number of Drug Overdose Deaths,,100,0.233950658,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,489",November2022,2022-11-01
AL,2022,October,12 month-ending,Number of Drug Overdose Deaths,,100,0.207309708,Alabama,Numbers may differ from published reports using final data. See Technical Notes.,**,"1,465",October2022,2022-10-01
